2021-10-15 16:34:26.038 +06:00 [INF] Application Starting up
2021-10-15 19:57:45.167 +06:00 [INF] Worker running at: "2021-10-15T19:57:45.1678368+06:00"
2021-10-15 19:58:45.200 +06:00 [INF] Worker running at: "2021-10-15T19:58:45.2004499+06:00"
2021-10-15 19:59:45.227 +06:00 [INF] Worker running at: "2021-10-15T19:59:45.2272308+06:00"
2021-10-15 20:00:45.246 +06:00 [INF] Worker running at: "2021-10-15T20:00:45.2463792+06:00"
2021-10-15 20:01:45.262 +06:00 [INF] Worker running at: "2021-10-15T20:01:45.2628219+06:00"
2021-10-15 20:02:45.275 +06:00 [INF] Worker running at: "2021-10-15T20:02:45.2750744+06:00"
2021-10-15 20:03:45.285 +06:00 [INF] Worker running at: "2021-10-15T20:03:45.2853089+06:00"
2021-10-15 20:04:45.297 +06:00 [INF] Worker running at: "2021-10-15T20:04:45.2973709+06:00"
2021-10-15 20:05:45.321 +06:00 [INF] Worker running at: "2021-10-15T20:05:45.3210060+06:00"
2021-10-15 20:06:45.330 +06:00 [INF] Worker running at: "2021-10-15T20:06:45.3306676+06:00"
2021-10-15 20:07:45.352 +06:00 [INF] Worker running at: "2021-10-15T20:07:45.3520780+06:00"
2021-10-15 20:08:45.360 +06:00 [INF] Worker running at: "2021-10-15T20:08:45.3604358+06:00"
2021-10-15 20:09:45.380 +06:00 [INF] Worker running at: "2021-10-15T20:09:45.3802132+06:00"
2021-10-15 20:10:45.395 +06:00 [INF] Worker running at: "2021-10-15T20:10:45.3958869+06:00"
2021-10-15 20:11:45.415 +06:00 [INF] Worker running at: "2021-10-15T20:11:45.4158554+06:00"
2021-10-15 20:12:45.439 +06:00 [INF] Worker running at: "2021-10-15T20:12:45.4393062+06:00"
2021-10-15 20:13:45.475 +06:00 [INF] Worker running at: "2021-10-15T20:13:45.4756745+06:00"
2021-10-15 20:14:45.491 +06:00 [INF] Worker running at: "2021-10-15T20:14:45.4915353+06:00"
2021-10-15 20:15:45.517 +06:00 [INF] Worker running at: "2021-10-15T20:15:45.5174370+06:00"
